creator,doi,articleTitle,pubDate,volume,startPage,endPage,journalId,journalTitle,publisher
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1002/9781118663202.wberen606,Jews in the United States,2015-12-30,,1,4,http://id.crossref.org/isbn/9781118663202,"The Wiley Blackwell Encyclopedia of Race, Ethnicity, and Nationalism","John Wiley and Sons, Ltd"
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1002/prot.24813,3d interaction homology: The structurally known rotamers of tyrosine derive from a surprisingly limited set of information-rich hydropathic interaction environments described by maps,2015-05-23,83,1118,1136,http://id.crossref.org/issn/0887-3585,"Proteins: Structure, Function, and Bioinformatics",Wiley-Blackwell
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1007/7653_2015_58,Understanding Water and Its Many Roles in Biological Structure: Ways to Exploit a Resource for Drug Discovery,2015,,85,110,http://id.crossref.org/issn/1557-2153,Methods in Pharmacology and Toxicology,Springer New York
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/978-3-319-14301-9,Tensor Categories and Endomorphisms of von Neumann Algebras,2015,,,,http://id.crossref.org/issn/2197-1757,SpringerBriefs in Mathematical Physics,Springer International Publishing
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/bf02961574,The impact of Israel experience Programs on Israel’s symbolic meaning,2003-10,24,124,155,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00023-014-0337-1,Integrable QFT and Longo–Witten Endomorphisms,2014-04-29,16,569,608,http://id.crossref.org/issn/1424-0637,Annales Henri Poincaré,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00023-015-0436-7,Erratum to: Integrable QFT and Longo–Witten Endomorphisms,2015-11-25,17,251,252,http://id.crossref.org/issn/1424-0637,Annales Henri Poincaré,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00220-012-1511-2,Models in Boundary Quantum Field Theory Associated with Lattices and Loop Group Models,2012-07-05,315,827,858,http://id.crossref.org/issn/0010-3616,Communications in Mathematical Physics,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00220-012-1593-x,Construction of Wedge-Local Nets of Observables through Longo-Witten Endomorphisms. II,2012-11-17,317,667,695,http://id.crossref.org/issn/0010-3616,Communications in Mathematical Physics,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s00220-015-2560-0,Phase Boundaries in Algebraic Conformal QFT,2016-01-21,342,1,45,http://id.crossref.org/issn/0010-3616,Communications in Mathematical Physics,Springer Nature
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1007/s00542-014-2287-4,A microfluidic device for generation of chemical gradients,2014-07-30,21,1797,1804,http://id.crossref.org/issn/0946-7076,Microsystem Technologies,Springer Nature
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1007/s10544-017-0175-2,A microfluidic diode for sorting and immobilization of Caenorhabditis elegans,2017-05-02,19,,,http://id.crossref.org/issn/1387-2176,Biomedical Microdevices,Springer Nature
http://orcid.org/0000-0001-7954-5385,http://dx.doi.org/10.1007/s10916-015-0232-4,Metadata from Data: Identifying Holidays from Anesthesia Data,2015-03-03,39,,,http://id.crossref.org/issn/0148-5598,Journal of Medical Systems,Springer Nature
http://orcid.org/0000-0001-5509-5762,http://dx.doi.org/10.1007/s11005-016-0816-z,A Remark on CFT Realization of Quantum Doubles of Subfactors: Case Index $${ &lt; 4}$$ &lt; 4,2016-02-01,106,341,363,http://id.crossref.org/issn/0377-9017,Letters in Mathematical Physics,Springer Nature
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/s12397-012-9080-4,Response to Steven M. Cohen’s Marshall Sklare Award Address,2012-02-22,32,95,98,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/s12397-012-9085-z,Cultural Transmission Without Essentialism: A Response to Riv-Ellen Prell,2012-07,32,205,208,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1007/s12397-015-9139-0,Choice and Obligation in Post-normative Jewish Families: Response to the Sklare Lecture,2015-06-03,35,147,152,http://id.crossref.org/issn/0147-1694,Contemporary Jewry,Springer Nature
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.1016/j.ajic.2013.09.018,Longitudinal evaluation of a World Wide Web–based antimicrobial stewardship program: Assessing factors associated with approval patterns and trends over time,2014-02,42,100,105,http://id.crossref.org/issn/0196-6553,American Journal of Infection Control,Elsevier BV
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1016/j.ajog.2015.01.032,Identification of a gene in Mycoplasma hominis associated with preterm birth and microbial burden in intraamniotic infection,2015-06,212,779.e1,779.e13,http://id.crossref.org/issn/0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1016/j.bbmt.2013.12.454,In Silico Derivation of HLA-Specific Alloreactivity Potential from Whole Exome Sequencing of Stem Cell Transplant Donor-Recipient Pairs,2014-02,20,S269,S270,http://id.crossref.org/issn/1083-8791,Biology of Blood and Marrow Transplantation,Elsevier BV
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1016/j.bbmt.2015.11.1103,Dynamical System Modeling to Simulate Donor T Cell Response to Whole Exome Sequencing-Derived Recipient Peptides Demonstrates Different Alloreactivity Potential in HLA-Matched and -Mismatched Donor–Recipient Pairs,2016-05,22,850,861,http://id.crossref.org/issn/1083-8791,Biology of Blood and Marrow Transplantation,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.bbrc.2014.03.060,Excision of 5-hydroxymethylcytosine by DEMETER family DNA glycosylases,2014-04,446,1067,1072,http://id.crossref.org/issn/0006-291X,Biochemical and Biophysical Research Communications,Elsevier BV
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1016/j.carbon.2016.11.056,Understanding thermal conductance across multi-wall carbon nanotube contacts: Role of nanotube curvature,2017-04,114,15,22,http://id.crossref.org/issn/0008-6223,Carbon,Elsevier BV
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1016/j.cbpa.2015.06.015,The neurotransmitters serotonin and glutamate accelerate the heart rate of the mosquito Anopheles gambiae,2015-10,188,49,57,http://id.crossref.org/issn/1095-6433,Comparative Biochemistry and Physiology Part A: Molecular and Integrative Physiology,Elsevier BV
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1016/j.dci.2015.10.018,Mosquito hemocytes preferentially aggregate and phagocytose pathogens in the periostial regions of the heart that experience the most hemolymph flow,2016-02,55,90,101,http://id.crossref.org/issn/0145-305X,Developmental and Comparative Immunology,Elsevier BV
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1016/j.dci.2015.12.006,Insect immunology and hematopoiesis,2016-05,58,102,118,http://id.crossref.org/issn/0145-305X,Developmental and Comparative Immunology,Elsevier BV
http://orcid.org/0000-0002-7028-9773,http://dx.doi.org/10.1016/j.desal.2013.02.002,Bio-fouling reducers for improving the performance of an aerobic submerged membrane bioreactor treating palm oil mill effluent,2013-05,316,146,153,http://id.crossref.org/issn/0011-9164,Desalination,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.dnarep.2013.10.009,The substrate binding interface of alkylpurine DNA glycosylase AlkD,2014-01,13,50,54,http://id.crossref.org/issn/1568-7864,DNA Repair,Elsevier BV
http://orcid.org/0000-0001-8117-0260,http://dx.doi.org/10.1016/j.eist.2015.09.002,The politics of niche-regime conflicts: Distributed solar energy in the United States,2016-06,19,42,50,http://id.crossref.org/issn/2210-4224,Environmental Innovation and Societal Transitions,Elsevier BV
http://orcid.org/0000-0001-8117-0260,http://dx.doi.org/10.1016/j.erss.2015.08.007,"Red states, green laws: Ideology and renewable energy legislation in the United States",2016-01,11,19,28,http://id.crossref.org/issn/2214-6296,Energy Research and Social Science,Elsevier BV
http://orcid.org/0000-0002-7028-9773,http://dx.doi.org/10.1016/j.habitatint.2013.10.010,"The profiles of household solid waste recyclers and non-recyclers in Kuala Lumpur, Malaysia",2014-04,42,83,89,http://id.crossref.org/issn/0197-3975,Habitat International,Elsevier BV
http://orcid.org/0000-0002-1871-6846,http://dx.doi.org/10.1016/j.ijmedinf.2016.09.014,A machine learning-based framework to identify type 2 diabetes through electronic health records,2017-01,97,120,127,http://id.crossref.org/issn/1386-5056,International Journal of Medical Informatics,Elsevier BV
http://orcid.org/0000-0002-0594-9149,http://dx.doi.org/10.1016/j.jimonfin.2014.08.003,Stock market volatility and international business cycle dynamics: Evidence from OECD economies,2015-02,50,1,15,http://id.crossref.org/issn/0261-5606,Journal of International Money and Finance,Elsevier BV
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1016/j.jinsphys.2017.06.013,Mosquito aging modulates the heart rate and the proportional directionality of heart contractions,2017-08,101,47,56,http://id.crossref.org/issn/0022-1910,Journal of Insect Physiology,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.jmb.2013.11.007,Insights into Eukaryotic Primer Synthesis from Structures of the p48 Subunit of Human DNA Primase,2014-02,426,558,569,http://id.crossref.org/issn/0022-2836,Journal of Molecular Biology,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.molcel.2015.05.013,HLTF’s Ancient HIRAN Domain Binds 3′ DNA Ends to Drive Replication Fork Reversal,2015-06,58,1090,1100,http://id.crossref.org/issn/1097-2765,Molecular Cell,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.mrfmmm.2014.03.007,Interplay between base excision repair activity and toxicity of 3-methyladenine DNA glycosylases in an E. coli complementation system,2014-05,763-764,64,73,http://id.crossref.org/issn/0027-5107,Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis,Elsevier BV
http://orcid.org/0000-0002-7028-9773,http://dx.doi.org/10.1016/j.resconrec.2013.01.003,Assessing environmental impacts of municipal solid waste of Johor by analytical hierarchy process,2013-04,73,188,196,http://id.crossref.org/issn/0921-3449,"Resources, Conservation and Recycling",Elsevier BV
http://orcid.org/0000-0002-7028-9773,http://dx.doi.org/10.1016/j.rser.2012.11.050,An overview for energy recovery from municipal solid wastes (MSW) in Malaysia scenario,2013-04,20,378,384,http://id.crossref.org/issn/1364-0321,Renewable and Sustainable Energy Reviews,Elsevier BV
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1016/j.yexcr.2016.12.002,Biomechanics of cell reorientation in a three-dimensional matrix under compression,2017-01,350,253,266,http://id.crossref.org/issn/0014-4827,Experimental Cell Research,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1016/j.ymeth.2013.07.020,An HPLC–tandem mass spectrometry method for simultaneous detection of alkylated base excision repair products,2013-11,64,59,66,http://id.crossref.org/issn/1046-2023,Methods,Elsevier BV
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1021/bi5002294,5-Methylcytosine Recognition byArabidopsis thalianaDNA Glycosylases DEMETER and DML3,2014-04-22,53,2525,2532,http://id.crossref.org/issn/0006-2960,Biochemistry,American Chemical Society (ACS)
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1021/bi500252w,Structural Analysis of Replication Protein A Recruitment of the DNA Damage Response Protein SMARCAL1,2014-05-13,53,3052,3061,http://id.crossref.org/issn/0006-2960,Biochemistry,American Chemical Society (ACS)
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1021/bi501534x,"Differential Stabilities and Sequence-Dependent Base Pair Opening Dynamics of Watson–Crick Base Pairs with 5-Hydroxymethylcytosine, 5-Formylcytosine, or 5-Carboxylcytosine",2015-02-10,54,1294,1305,http://id.crossref.org/issn/0006-2960,Biochemistry,American Chemical Society (ACS)
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.1038/jp.2014.50,Call for a randomized controlled trial: early glycemic control in the development of retinopathy of prematurity,2014-06,34,415,416,http://id.crossref.org/issn/0743-8346,Journal of Perinatology,Springer Nature
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1038/nature15728,The DNA glycosylase AlkD uses a non-base-flipping mechanism to excise bulky lesions,2015-10-28,527,254,258,http://id.crossref.org/issn/0028-0836,Nature,Springer Nature
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1038/nchembio.2439,Toxicity and repair of DNA adducts produced by the natural product yatakemycin,2017-07-24,13,1002,1008,http://id.crossref.org/issn/1552-4450,Nature Chemical Biology,Springer Nature
http://orcid.org/0000-0001-7954-5385,http://dx.doi.org/10.1038/ncomms6914,Vasculopathy-associated hyperangiotensinemia mobilizes haematopoietic stem cells/progenitors through endothelial AT2R and cytoskeletal dysregulation,2015-01-09,6,5914,,http://id.crossref.org/issn/2041-1723,Nature Communications,Springer Nature
http://orcid.org/0000-0001-8007-7865,http://dx.doi.org/10.1038/srep08124,Automated Analysis of Cell-Matrix Adhesions in 2D and 3D Environments,2015-01-29,5,,,http://id.crossref.org/issn/2045-2322,Scientific Reports,Springer Nature
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1039/c6nr06302k,Thermal conductivity of individual silicon nanoribbons,2016,8,17895,17901,http://id.crossref.org/issn/2040-3364,Nanoscale,Royal Society of Chemistry (RSC)
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1039/c6nr07290a,Probing electrical signals in the retina via graphene-integrated microfluidic platforms,2016,8,19043,19049,http://id.crossref.org/issn/2040-3364,Nanoscale,Royal Society of Chemistry (RSC)
http://orcid.org/0000-0001-8007-7865,http://dx.doi.org/10.1042/bst20160191,APPL1 is a multifunctional endosomal signaling adaptor protein,2017-06-15,45,771,779,http://id.crossref.org/issn/0300-5127,Biochemical Society Transactions,Portland Press Ltd.
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1063/1.4906348,Experimental evidence of very long intrinsic phonon mean free path along thec-axis of graphite,2015-01-19,106,31905,,http://id.crossref.org/issn/0003-6951,Applied Physics Letters,AIP Publishing
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1080/14725886.2013.824671,Spirited Commitment: The Samuel and Saidye Bronfman Family Foundation,2013-07,12,360,361,http://id.crossref.org/issn/1472-5886,Journal of Modern Jewish Studies,Informa UK Limited
http://orcid.org/0000-0001-8117-0260,http://dx.doi.org/10.1080/1523908X.2017.1341304,Water and the politics of sustainability transitions: from regime actor conflicts to system governance organizations,2017-06-21,,1,15,http://id.crossref.org/issn/1523-908X,Journal of Environmental Policy and Planning,Informa UK Limited
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1080/15567265.2015.1035199,Phonon Dynamics at Surfaces and Interfaces and Its Implications in Energy Transport in Nanostructured Materials—An opinion Paper,2015-04-03,19,166,182,http://id.crossref.org/issn/1556-7265,Nanoscale and Microscale Thermophysical Engineering,Informa UK Limited
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1080/15595692.2013.763788,Historical Perspectives on Diaspora Homeland Tourism: “Israel Experience” Education in the 1950s and 1960s,2013-04,7,99,113,http://id.crossref.org/issn/1559-5692,"Diaspora, Indigenous, and Minority Education",Informa UK Limited
http://orcid.org/0000-0002-7028-9773,http://dx.doi.org/10.1080/19443994.2012.751155,A comparison of the efficacy of two strains ofBacillus subtilisandPseudomonas fragiiin the treatment of tannery wastewater,2013-04,51,3189,3195,http://id.crossref.org/issn/1944-3994,Desalination and Water Treatment,Informa UK Limited
http://orcid.org/0000-0002-1871-6846,http://dx.doi.org/10.1093/bioinformatics/btu561,SecureMA: protecting participant privacy in genetic association meta-analysis,2014-08-21,30,3334,3341,http://id.crossref.org/issn/1460-2059,Bioinformatics,Oxford University Press (OUP)
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1093/obo/9780199840731-0073,American Jewish Sociology,,,,,,,Oxford University Press (OUP)
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1093/sf/sov063,"The New American Zionism By Theodore Sasson New York University Press. 2014. 229 pp. $39 cloth, $24 paper",2015-04-08,95,e22,e22,http://id.crossref.org/issn/0037-7732,Social Forces,Oxford University Press (OUP)
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1093/socrel/67.4.507,Reconceptualizing Religious Change: Ethno-Apostasy and Change in Religion Among American Jews,2006-12-01,67,507,543,http://id.crossref.org/issn/1069-4404,Sociology of Religion,Oxford University Press (OUP)
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.1097/ACM.0000000000000117,In Reply to Deng and Gluckstein,2014-02,89,195,196,http://id.crossref.org/issn/1040-2446,Academic Medicine,Ovid Technologies (Wolters Kluwer Health)
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.1097/PTS.0000000000000086,Hidden Barriers to Delivery of Pharmacological Venous Thromboembolism Prophylaxis,2016-06,12,63,68,http://id.crossref.org/issn/1549-8417,Journal of Patient Safety,Ovid Technologies (Wolters Kluwer Health)
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1099/mic.0.000238,Comparison of Lactobacillus crispatus isolates from Lactobacillus-dominated vaginal microbiomes with isolates from microbiomes containing bacterial vaginosis-associated bacteria,2016-03-01,162,466,475,http://id.crossref.org/issn/1350-0872,Microbiology,Microbiology Society
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1101/024828,Dynamical System Modeling to Simulate Donor T Cell Response to Whole Exome Sequencing-Derived Recipient Peptides Demonstrates Different Alloreactivity Potential In HLA-Matched and Mismatched Donor-Recipient Pairs,2015-08-17,,,,,,Cold Spring Harbor Laboratory
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1103/PhysRevB.92.134113,Effects of interfacial roughness on phonon transport in bilayer silicon thin films,2015-10-29,92,,,http://id.crossref.org/issn/1098-0121,Physical Review B,American Physical Society (APS)
http://orcid.org/0000-0001-8364-0924,http://dx.doi.org/10.1103/PhysRevE.92.022719,Detection of short single-strand DNA homopolymers with ultrathinSi3N4nanopores,2015-08-24,92,,,http://id.crossref.org/issn/1539-3755,Physical Review E,American Physical Society (APS)
http://orcid.org/0000-0001-8117-0260,http://dx.doi.org/10.1111/1752-1688.12506,Measuring Urban Water Conservation Policies: Toward a Comprehensive Index,2017-02-16,53,442,455,http://id.crossref.org/issn/1093-474X,JAWRA Journal of the American Water Resources Association,Wiley-Blackwell
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.1111/trf.12718,Red blood cell transfusion practices in two surgical intensive care units: a mixed methods assessment of barriers to evidence-based practice,2014-05-21,54,2658,2667,http://id.crossref.org/issn/0041-1132,Transfusion,Wiley-Blackwell
http://orcid.org/0000-0001-6189-9302,http://dx.doi.org/10.1128/jvi.00332-14,Human Metapneumovirus Virus-Like Particles Induce Protective B and T Cell Responses in a Mouse Model,2014-03-26,88,6368,6379,http://id.crossref.org/issn/0022-538X,Journal of Virology,American Society for Microbiology
http://orcid.org/0000-0001-6189-9302,http://dx.doi.org/10.1172/jci62860,Viral acute lower respiratory infections impair CD8+ T cells through PD-1,2012-08-01,122,2967,2982,http://id.crossref.org/issn/0021-9738,Journal of Clinical Investigation,American Society for Clinical Investigation
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1177/0092055x0903700202,Beyond the Field Trip,2009-04,37,136,150,http://id.crossref.org/issn/0092-055X,Teaching Sociology,SAGE Publications
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1177/009430610803700149,"Tourism, Ethnic Diversity and the CityTourism, Ethnic Diversity and the City, edited by RathJan. New York, NY: Routledge: 2006. 222pp. $135.00 cloth. ISBN: 9780415333900.",2008-01,37,80,81,http://id.crossref.org/issn/0094-3061,Contemporary Sociology: A Journal of Reviews,SAGE Publications
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1177/1536504211418463,Let My People Go,2011-08,10,72,73,http://id.crossref.org/issn/1536-5042,Contexts,SAGE Publications
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1186/s12915-016-0305-y,"Functional integration of the circulatory, immune, and respiratory systems in mosquito larvae: pathogen killing in the hemocyte-rich tracheal tufts",2016-09-19,14,,,http://id.crossref.org/issn/1741-7007,BMC Biology,Springer Nature
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1186/s13071-017-2302-6,Anopheles gambiae larvae mount stronger immune responses against bacterial infection than adults: evidence of adaptive decoupling in mosquitoes,2017-08-01,10,,,http://id.crossref.org/issn/1756-3305,Parasites and Vectors,Springer Nature
http://orcid.org/0000-0001-8007-7865,http://dx.doi.org/10.1242/jcs.131060,Activation of Rac by Asef2 promotes myosin II-dependent contractility to inhibit cell migration on type I collagen,2013-10-21,126,5585,5597,http://id.crossref.org/issn/0021-9533,Journal of Cell Science,The Company of Biologists
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1242/jeb.141655,CCAP and FMRFamide-like peptides accelerate the contraction rate of the antennal accessory pulsatile organs (auxiliary hearts) of mosquitoes,2016-05-31,219,2388,2395,http://id.crossref.org/issn/0022-0949,The Journal of Experimental Biology,The Company of Biologists
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1242/jeb.148254,Hemolymph circulation in insect flight appendages: physiology of the wing heart and circulatory flow in the wings of the mosquito Anopheles gambiae,2016-10-14,219,3945,3951,http://id.crossref.org/issn/0022-0949,The Journal of Experimental Biology,The Company of Biologists
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1353/ajh.2014.0012,Ethnographers and History,2014,98,17,22,http://id.crossref.org/issn/1086-3141,American Jewish History,Johns Hopkins University Press
http://orcid.org/0000-0002-0965-2297,http://dx.doi.org/10.1371/journal.pone.0127733,A New Family of HEAT-Like Repeat Proteins Lacking a Critical Substrate Recognition Motif Present in Related DNA Glycosylases,2015-05-15,10,e0127733,,http://id.crossref.org/issn/1932-6203,PLOS ONE,Public Library of Science (PLoS)
http://orcid.org/0000-0002-1871-6846,http://dx.doi.org/10.1371/journal.pone.0156479,Supporting Regularized Logistic Regression Privately and Efficiently,2016-06-06,11,e0156479,,http://id.crossref.org/issn/1932-6203,PLOS ONE,Public Library of Science (PLoS)
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.1504/ijcbdd.2014.061652,BOTUX: Bayesian-like operational taxonomic unit examiner,2014,7,130,,http://id.crossref.org/issn/1756-0756,International Journal of Computational Biology and Drug Design,Inderscience Publishers
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.15265/IY-2014-0030,Big³. Editorial,2014-05-22,9,6,7,http://id.crossref.org/issn/0943-4747,IMIA Yearbook,Schattauer GmbH
http://orcid.org/0000-0001-7954-5385,http://dx.doi.org/10.1532/hsf.1566,Prediction of Prolonged Ventilation after Coronary Artery Bypass Grafting: Data from an Artificial Neural Network,2017-02-24,20,7,,http://id.crossref.org/issn/1522-6662,The Heart Surgery Forum,Carden Jennings Publishing Co.
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.1628/094457016x14805817132338,"Veneration and Critique: Israel, the Sociology of American Judaism and the Problematics of Sovereignty",2016-09-01,23,194,221,http://id.crossref.org/issn/0944-5706,Jewish Studies Quarterly,Mohr Siebeck
http://orcid.org/0000-0002-3178-0201,http://dx.doi.org/10.1645/16-110,George V. Hillyer (1943-2015),2016-12,102,659,661,http://id.crossref.org/issn/0022-3395,Journal of Parasitology,American Society of Parasitologists
http://orcid.org/0000-0001-8117-0260,http://dx.doi.org/10.17351/ests2015.010,"Power, Ideology, and Technological Determinism",2015-12-29,,121,125,http://id.crossref.org/issn/2413-8053,"Engaging Science, Technology, and Society",Society for Social Studies of Science (4S)
http://orcid.org/0000-0001-8117-0260,http://dx.doi.org/10.17351/ests2016.35,"Finding Political Opportunities: Civil Society, Industrial Power, and the Governance of Nanotechnology in the European Union",2016-05-25,2,33,,http://id.crossref.org/issn/2413-8053,"Engaging Science, Technology, and Society",Society for Social Studies of Science (4S)
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.18574/nyu/9780814748169.001.0001,Tours That Bind,2010-04-19,,,,,,NYU Press
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.2196/medinform.4457,Meaningful Use of Electronic Health Records: Experiences From the Field and Future Opportunities,2015-09-18,3,e30,,http://id.crossref.org/issn/2291-9694,JMIR Medical Informatics,JMIR Publications Inc.
http://orcid.org/0000-0001-9559-4646,http://dx.doi.org/10.2196/medinform.5160,Metadata Correction: Meaningful Use of Electronic Health Records: Experiences From the Field and Future Opportunities,2015-09-25,3,e32,,http://id.crossref.org/issn/2291-9694,JMIR Medical Informatics,JMIR Publications Inc.
http://orcid.org/0000-0003-2360-0589,http://dx.doi.org/10.2979/isr.2008.13.2.146,From Shrine to Forum: Masada and the Politics of Jewish Extremism,2008-07,13,146,163,http://id.crossref.org/issn/1084-9513,Israel Studies,Indiana University Press
http://orcid.org/0000-0001-8978-8495,http://dx.doi.org/10.3389/fimmu.2014.00529,In silico Derivation of HLA-Specific Alloreactivity Potential from Whole Exome Sequencing of Stem-Cell Transplant Donors and Recipients: Understanding the Quantitative Immunobiology of Allogeneic Transplantation,2014-11-06,5,,,http://id.crossref.org/issn/1664-3224,Frontiers in Immunology,Frontiers Media SA
http://orcid.org/0000-0001-6189-9302,http://dx.doi.org/10.4049/jimmunol.1302208,Programmed Death-1 Impairs Secondary Effector Lung CD8+T Cells during Respiratory Virus Reinfection,2014-10-22,193,5108,5117,http://id.crossref.org/issn/0022-1767,The Journal of Immunology,The American Association of Immunologists
